condition,question_id,signal,trial,passed,sql
md,value_dating,secondary axis routing,1,True,"SELECT     t.account_id,     SUM(t.amount) AS total_interest_effective_amount FROM transaction_info t JOIN account_info a     ON t.account_id = a.account_id WHERE t.value_date >= DATE '2026-03-01'   AND t.value_date <  DATE '2026-04-01'   AND a.account_status = 'ACTIVE' GROUP BY t.account_id ORDER BY t.account_id;"
md,value_dating,secondary axis routing,2,True,"SELECT     t.account_id,     SUM(t.amount) AS total_interest_effective_amount FROM transaction_info t INNER JOIN account_info a     ON t.account_id = a.account_id WHERE     t.value_date >= DATE '2026-03-01'     AND t.value_date < DATE '2026-04-01'     AND a.account_status = 'ACTIVE' GROUP BY     t.account_id ORDER BY     t.account_id;"
md,debit_sign,sign convention (context prose),0,True,SELECT SUM(amount) AS total_debited FROM transaction_info WHERE amount < 0   AND booking_date >= '2026-01-01'   AND booking_date < '2026-02-01';
md,debit_sign,sign convention (context prose),1,True,SELECT SUM(amount) AS total_debited FROM transaction_info WHERE amount < 0   AND booking_date >= '2026-01-01'   AND booking_date < '2026-02-01';
md,debit_sign,sign convention (context prose),2,True,SELECT SUM(amount) AS total_debited FROM transaction_info WHERE amount < 0   AND booking_date >= '2026-01-01'   AND booking_date < '2026-02-01';
md,net_flow_join,relationships + axis + glossary,0,True,"SELECT     a.currency_code,     SUM(t.amount) AS net_flow FROM transaction_info t JOIN account_info a     ON t.account_id = a.account_id WHERE t.booking_date >= '2025-01-01'   AND t.booking_date <  '2026-01-01' GROUP BY a.currency_code ORDER BY a.currency_code;"
md,net_flow_join,relationships + axis + glossary,1,True,"SELECT     a.currency_code,     SUM(t.amount) AS net_flow FROM transaction_info t JOIN account_info a     ON t.account_id = a.account_id WHERE t.booking_date >= '2025-01-01'   AND t.booking_date < '2026-01-01' GROUP BY a.currency_code ORDER BY a.currency_code;"
md,net_flow_join,relationships + axis + glossary,2,True,"SELECT     a.currency_code,     SUM(t.amount) AS net_flow FROM transaction_info t JOIN account_info a     ON t.account_id = a.account_id WHERE t.booking_date >= '2025-01-01'   AND t.booking_date < '2026-01-01' GROUP BY a.currency_code ORDER BY a.currency_code;"
osi,monthly_volume,primary time axis,0,True,"SELECT     DATE_TRUNC('month', booking_date) AS month,     COUNT(transaction_id) AS transaction_count FROM transaction_info WHERE booking_date >= DATE '2025-01-01'   AND booking_date < DATE '2026-01-01' GROUP BY DATE_TRUNC('month', booking_date) ORDER BY month"
osi,monthly_volume,primary time axis,1,True,"SELECT     DATE_TRUNC('month', booking_date) AS month,     COUNT(transaction_id) AS transaction_count FROM transaction_info WHERE booking_date >= DATE '2025-01-01'   AND booking_date < DATE '2026-01-01' GROUP BY DATE_TRUNC('month', booking_date) ORDER BY month"
osi,monthly_volume,primary time axis,2,True,"SELECT     DATE_TRUNC('month', booking_date) AS month,     COUNT(transaction_id) AS transaction_count FROM transaction_info WHERE booking_date >= DATE '2025-01-01'   AND booking_date < DATE '2026-01-01' GROUP BY DATE_TRUNC('month', booking_date) ORDER BY month"
osi,daily_audit_trap,audit demotion,0,True,"SELECT     booking_date,     COUNT(transaction_id) AS number_of_transactions FROM transaction_info WHERE booking_date >= CURRENT_DATE - INTERVAL '30' DAY   AND booking_date < CURRENT_DATE GROUP BY booking_date ORDER BY booking_date"
osi,daily_audit_trap,audit demotion,1,True,"SELECT     booking_date,     COUNT(transaction_id) AS number_of_transactions FROM transaction_info WHERE booking_date >= CURRENT_DATE - INTERVAL '30' DAY   AND booking_date < CURRENT_DATE GROUP BY booking_date ORDER BY booking_date"
osi,daily_audit_trap,audit demotion,2,True,"SELECT     booking_date,     COUNT(transaction_id) AS number_of_transactions FROM transaction_info WHERE booking_date >= CURRENT_DATE - INTERVAL '30' DAY   AND booking_date < CURRENT_DATE GROUP BY booking_date ORDER BY booking_date"
osi,default_filter,sql_filters / application context,0,True,"SELECT     currency_code,     COUNT(account_id) AS number_of_accounts FROM account_info WHERE account_status = 'ACTIVE' GROUP BY currency_code ORDER BY number_of_accounts DESC"
osi,default_filter,sql_filters / application context,1,True,"SELECT     currency_code,     COUNT(account_id) AS number_of_accounts FROM account_info WHERE account_status = 'ACTIVE' GROUP BY currency_code ORDER BY number_of_accounts DESC"
osi,default_filter,sql_filters / application context,2,True,"SELECT     currency_code,     COUNT(account_id) AS number_of_accounts FROM account_info WHERE account_status = 'ACTIVE' GROUP BY currency_code ORDER BY number_of_accounts DESC"
osi,value_dating,secondary axis routing,0,True,"SELECT     t.account_id,     SUM(t.amount) AS total_interest_effective_amount FROM transaction_info t INNER JOIN account_info a     ON t.account_id = a.account_id WHERE a.account_status = 'ACTIVE'   AND t.value_date >= DATE '2026-03-01'   AND t.value_date <  DATE '2026-04-01' GROUP BY t.account_id"
osi,value_dating,secondary axis routing,1,True,"SELECT     t.account_id,     SUM(t.amount) AS total_interest_effective_amount FROM transaction_info t INNER JOIN account_info a     ON t.account_id = a.account_id WHERE a.account_status = 'ACTIVE'   AND t.value_date >= DATE '2026-03-01'   AND t.value_date <  DATE '2026-04-01' GROUP BY t.account_id"
osi,value_dating,secondary axis routing,2,True,"SELECT     t.account_id,     SUM(t.amount) AS total_interest_effective_amount FROM transaction_info t INNER JOIN account_info a     ON t.account_id = a.account_id     AND a.account_status = 'ACTIVE' WHERE t.value_date >= DATE '2026-03-01'   AND t.value_date <  DATE '2026-04-01' GROUP BY t.account_id"
osi,debit_sign,sign convention (context prose),0,True,SELECT SUM(amount) AS total_debited FROM transaction_info WHERE booking_date >= DATE '2026-01-01'   AND booking_date < DATE '2026-02-01'   AND amount < 0;
osi,debit_sign,sign convention (context prose),1,True,SELECT SUM(amount) AS total_debited FROM transaction_info WHERE amount < 0   AND booking_date >= '2026-01-01'   AND booking_date < '2026-02-01'
osi,debit_sign,sign convention (context prose),2,True,SELECT SUM(amount) AS total_debited FROM transaction_info WHERE amount < 0   AND booking_date >= '2026-01-01'   AND booking_date < '2026-02-01'
osi,net_flow_join,relationships + axis + glossary,0,True,"SELECT     a.currency_code,     SUM(t.amount) AS net_flow FROM transaction_info t JOIN account_info a     ON t.account_id = a.account_id WHERE a.account_status = 'ACTIVE'   AND t.booking_date >= '2025-01-01'   AND t.booking_date < '2026-01-01' GROUP BY a.currency_code ORDER BY a.currency_code"
osi,net_flow_join,relationships + axis + glossary,1,True,"SELECT     a.currency_code,     SUM(t.amount) AS net_flow FROM transaction_info t JOIN account_info a     ON t.account_id = a.account_id WHERE a.account_status = 'ACTIVE'   AND t.booking_date >= DATE '2025-01-01'   AND t.booking_date <  DATE '2026-01-01' GROUP BY a.currency_code ORDER BY a.currency_code"
osi,net_flow_join,relationships + axis + glossary,2,True,"SELECT     a.currency_code,     SUM(t.amount) AS net_flow FROM transaction_info t JOIN account_info a     ON t.account_id = a.account_id WHERE a.account_status = 'ACTIVE'   AND t.booking_date >= '2025-01-01'   AND t.booking_date < '2026-01-01' GROUP BY a.currency_code ORDER BY a.currency_code"
md_enriched,monthly_volume,primary time axis,0,True,"SELECT     DATE_TRUNC('month', booking_date) AS month,     COUNT(*) AS transaction_count FROM transaction_info WHERE booking_date >= '2025-01-01'   AND booking_date < '2026-01-01' GROUP BY DATE_TRUNC('month', booking_date) ORDER BY month;"
md_enriched,monthly_volume,primary time axis,1,True,"SELECT     DATE_TRUNC('month', booking_date) AS month,     COUNT(*) AS transaction_count FROM transaction_info WHERE booking_date >= DATE '2025-01-01'   AND booking_date < DATE '2026-01-01' GROUP BY DATE_TRUNC('month', booking_date) ORDER BY month;"
md_enriched,monthly_volume,primary time axis,2,True,"SELECT     DATE_TRUNC('month', booking_date) AS month,     COUNT(*) AS transaction_count FROM transaction_info WHERE booking_date >= '2025-01-01'   AND booking_date < '2026-01-01' GROUP BY DATE_TRUNC('month', booking_date) ORDER BY month;"
md_enriched,daily_audit_trap,audit demotion,0,True,"SELECT     booking_date,     COUNT(transaction_id) AS transaction_count FROM transaction_info WHERE booking_date >= CURRENT_DATE - INTERVAL '30' DAY   AND booking_date < CURRENT_DATE GROUP BY booking_date ORDER BY booking_date;"
md_enriched,daily_audit_trap,audit demotion,1,True,"SELECT     booking_date,     COUNT(transaction_id) AS transaction_count FROM transaction_info WHERE booking_date >= CURRENT_DATE - INTERVAL '30' DAY   AND booking_date < CURRENT_DATE GROUP BY booking_date ORDER BY booking_date;"
md_enriched,daily_audit_trap,audit demotion,2,True,"SELECT     booking_date,     COUNT(transaction_id) AS transaction_count FROM transaction_info WHERE booking_date >= CURRENT_DATE - INTERVAL '30' DAY   AND booking_date < CURRENT_DATE GROUP BY booking_date ORDER BY booking_date;"
md_enriched,default_filter,sql_filters / application context,0,True,"SELECT     currency_code,     COUNT(account_id) AS account_count FROM account_info WHERE account_status = 'ACTIVE' GROUP BY currency_code ORDER BY account_count DESC;"
md_enriched,default_filter,sql_filters / application context,1,True,"SELECT     currency_code,     COUNT(account_id) AS account_count FROM account_info WHERE account_status = 'ACTIVE' GROUP BY currency_code ORDER BY account_count DESC;"
md_enriched,default_filter,sql_filters / application context,2,True,"SELECT     currency_code,     COUNT(account_id) AS account_count FROM account_info WHERE account_status = 'ACTIVE' GROUP BY currency_code ORDER BY account_count DESC;"
md_enriched,value_dating,secondary axis routing,0,True,"SELECT     account_id,     SUM(amount) AS total_interest_effective_amount FROM transaction_info WHERE value_date >= DATE '2026-03-01'   AND value_date < DATE '2026-04-01' GROUP BY account_id"
md_enriched,value_dating,secondary axis routing,1,True,"SELECT     account_id,     SUM(amount) AS total_interest_effective_amount FROM transaction_info WHERE value_date >= DATE '2026-03-01'   AND value_date < DATE '2026-04-01' GROUP BY account_id"
md_enriched,value_dating,secondary axis routing,2,True,"SELECT     account_id,     SUM(amount) AS total_interest_effective_amount FROM transaction_info WHERE value_date >= DATE '2026-03-01'   AND value_date < DATE '2026-04-01' GROUP BY account_id"
md_enriched,debit_sign,sign convention (context prose),0,True,SELECT SUM(amount) AS total_debited FROM transaction_info WHERE amount < 0   AND booking_date >= DATE '2026-01-01'   AND booking_date <  DATE '2026-02-01'
md_enriched,debit_sign,sign convention (context prose),1,True,SELECT SUM(amount) AS total_debited FROM transaction_info WHERE amount < 0   AND booking_date >= '2026-01-01'   AND booking_date < '2026-02-01'
md_enriched,debit_sign,sign convention (context prose),2,True,SELECT SUM(amount) AS total_debited FROM transaction_info WHERE amount < 0   AND booking_date >= DATE '2026-01-01'   AND booking_date <  DATE '2026-02-01'
md_enriched,net_flow_join,relationships + axis + glossary,0,True,"SELECT     a.currency_code,     SUM(t.amount) AS net_flow FROM transaction_info t JOIN account_info a     ON t.account_id = a.account_id WHERE t.booking_date >= '2025-01-01'   AND t.booking_date < '2026-01-01' GROUP BY a.currency_code ORDER BY a.currency_code;"
md_enriched,net_flow_join,relationships + axis + glossary,1,True,"SELECT     a.currency_code,     SUM(t.amount) AS net_flow FROM transaction_info t JOIN account_info a     ON t.account_id = a.account_id WHERE t.booking_date >= '2025-01-01'   AND t.booking_date <  '2026-01-01'   AND a.account_status = 'ACTIVE' GROUP BY a.currency_code ORDER BY a.currency_code;"
md_enriched,net_flow_join,relationships + axis + glossary,2,True,"SELECT     a.currency_code,     SUM(t.amount) AS net_flow FROM transaction_info t JOIN account_info a     ON t.account_id = a.account_id WHERE t.booking_date >= '2025-01-01'   AND t.booking_date <  '2026-01-01'   AND a.account_status = 'ACTIVE' GROUP BY a.currency_code ORDER BY a.currency_code;"
